test_id,thickness_mm,width_cm,burning_sides,velocity_cm_s,spread_mm_s,burn_min,initial_o2_vol_pct,final_o2_vol_pct
M1,1,2.2,1,9,0.071,6.4,22.2,21.9
M2,3,2.2,1,20;15,0.052;0.033,22.9,22.2,21.2
M3,5,2.2,1,10;20,0.029;0.024,20.1,20.8,19.7
M4,5,2.2,2,5;3,0.045;0.033,19.8,21.8,19.8
M5,3,2.2,2,10,0.071,27.2,22.2,19
M6,1,2.2,2,10;8,,16.8,21.8,20.7
M7,1,1.2,2,10;6;5;3,0.106;0.099;0.083;0.07,18.4,18.9,18.4
M8,2,1.2,2,10;6;5,0.057;0.056;0.04,25.2,19.1,18.2
M9,3,1.2,2,14,0.025,16.8,18,17.6
M10,4,1.2,2,15;10,0.0373;0.03,30.5,20.1,18.6
M11,5,1.2,2,21;15;13,0.048;0.028;0.022,28.5,20,18.5
M12,2,2.2,2,12;10,,16.2,21.7,20.4
M13,4,2.2,2,6;5;4,0.047;0.035;0.033,20.5,20.8,19
M14,2,2.2,1,15;14;10,0.0624;0.055;0.0353,15.4,22.2,21.6
M15,4,2.2,1,20,0.045,22,21,20
M16,1,2.2,2,5;3;2,0.144;0.1309;0.1062,8.4,19.2,18.7
M17,2,2.2,2,5;4;3,0.053;0.042;0.026,30.7,18.8,17.1
M18,3,2.2,2,10;8,0.026;0.013,25.5,17.9,16.8
M19,4,2.2,2,10;6,0.027;0.0159,25.7,19,17.4
M20,5,2.2,2,10,0.012,16.5,18,17.4
