FLEX Test #,FLEX Identifier,Test Date,Test GMT,Fuel,Ambient pressure; mmHg,O initial ambient composition; mole fraction,N initial ambient composition; mole fraction,CO initial ambient composition; mole fraction,He initial ambient composition; mole fraction,Droplet initial diameter; mm,Visible flame extinction diameter; mm,Burning rate; mm,Burn time; s,Test end
1,20CAL08,3/5/2009,17:22:03,Methanol,757.7,0.21,0.79,0,0,1.69,0.89,0.52,4.3,Disruption
2,20CAL10,3/5/2009,19:20:06,Methanol,762,0.21,0.79,0,0,1.86,0.94,0.6,5,Extinction
3,20CAL12,3/5/2009,21:17:46,Methanol,764.2,0.21,0.79,0,0,1.61,0.92,0.58,3.2,Extinction
4,30CAL02,3/31/2009,17:16:18,Methanol,760,0.21,0.79,0,0,2.06,,0.6,7.64,Extinction
5,30CAL03,3/31/2009,19:00:48,Methanol,760,0.21,0.79,0,0,1.92,0.81,0.48,6.34,Extinction
6,40CAL01,3/31/2009,20:05:49,Methanol,760,0.21,0.79,0,0,2.54,1.53,0.51,9.6,Extinction
7,20CAL13,4/10/2009,13:26:11,Heptane,761.3,0.21,0.79,0,0,1.87,,0.67,5.3,Disruption
8,30CAL06,4/10/2009,18:07:15,Heptane,762.4,0.21,0.79,0,0,2.95,,0.79,14.8,Disruption
9,30CAL07,4/10/2009,,Heptane,760,0.21,0.79,0,0,,,,,Disruption
10,256F002,5/22/2009,14:53:27,Methanol,2319.7,0.21,0.09,0.7,0,3.86,,0.37,13.6,Extinction
11,256R001,5/22/2009,15:33:47,Methanol,2318.8,0.21,0.09,0.7,0,3.03,,0.4,16.5,Extinction
12,264F003,5/22/2009,19:23:35,Heptane,2319.9,0.21,0.09,0.7,0,2.74,,,,Disruption
13,256R002,6/25/2009,15:33:05,Methanol,2074.2,0.21,0.09,0.7,0,2.59,,0.49,10.8,Extinction
14,256F007,6/29/2009,12:26:06,Methanol,2055.6,0.21,0.09,0.7,0,3.7,,,11.3,Extinction
15,256F008,6/29/2009,13:56:06,Methanol,2066.6,0.21,0.09,0.7,0,4.42,,,23.1,Extinction
16,256F009,6/29/2009,15:34:58,Methanol,2072.1,0.21,0.09,0.7,0,1.66,1,0.53,3.4,Extinction
17,240R003,7/1/2009,12:28:41,Methanol,1545.7,0.21,0.09,0.7,0,2.67,,,2.4,Disruption
18,248F001,7/1/2009,16:28:56,Heptane,1553.8,0.21,0.09,0.7,0,2.74,1.77,0.61,8.1,Extinction
19,196F001,8/26/2009,19:07:28,Heptane,539.1,0.34,0.66,0,0,3.39,,0.9,4.2,Disruption
20,192F001,10/24/09,14:09:04,Methanol,539.5,0.34,0.66,0,0,3.4,1.56,0.53,17.4,Completion
21,192F002,10/24/09,15:15:24,Methanol,540.6,0.34,0.66,0,0,3.49,0.95,0.66,17.8,Disruption
